State;2018;2017;2016;2015;2014;2013;2012;2011
District of Columbia;160472;159227;159395;159497;163274;16687;16803;166178
Massachusetts;65545;64507;6251;61882;62456;61769;60808;59178
New York;64579;64093;6342;62444;62841;61185;61267;59481
Connecticut;64511;63747;62236;6255;63502;63638;64906;65574
Alaska;63971;67705;67411;697;73478;70573;69564;72204
Delaware;63664;6404;63271;60719;62174;63793;62837;62837
North Dakota;62837;67305;71056;67651;68105;57066;52185;48858
Wyoming;58821;60908;61417;6077;60777;63985;64603;6632
California;58619;57328;55374;53855;52974;52099;51871;51733
New Jersey;57084;56472;55635;5575;55161;54302;55023;55067
Washington;56831;5578;55001;54161;53439;525;52679;52264
Maryland;55404;54894;54003;53765;54018;54209;53675;52515
Illinois;54091;53432;52795;51963;52172;51198;50304;49859
Texas;53795;54421;52993;52018;50266;48354;47417;47034
Minnesota;53704;5338;53005;51999;51272;50875;50148;48884
Nebraska;53114;52878;53099;51565;50631;5136;49569;47973
Colorado;52795;52622;52019;50475;49639;49285;49254;49731
New Hampshire;51794;50456;4948;48871;48652;48504;48388;47265
Virginia;51736;51716;50803;51106;51546;51754;51946;51389
Hawaii;51277;5032;49497;49539;49513;49331;49418;48549
Pennsylvania;50997;50418;49155;48278;4754;46872;46387;45312
Oregon;50582;49792;48342;48094;49395;51266;49601;4753
Iowa;50315;50086;49218;48002;48001;46523;45884;45195
South Dakota;48076;47706;46776;46869;46965;47972;45605;45457
Rhode Island;47639;47118;46668;46356;46188;4601;46332;4528
Ohio;47567;46826;46385;45254;44896;44192;42667;41593
Wisconsin;47266;46859;4634;45845;45382;44906;44126;43215
Kansas;46982;4689;46003;4547;45514;45476;44243;4377
Indiana;45317;44797;44577;43866;43064;43058;42996;40572
Georgia;44723;43913;43313;425;42191;4214;42029;42052
Utah;44636;44204;43069;42267;41929;41992;415;41563
Oklahoma;44623;45864;45007;43288;41861;39961;38303;3864
North Carolina;44325;44096;43372;42945;42659;43223;43141;4316
Vermont;43946;43495;43039;42914;43042;43124;4217;40855
Louisiana;43917;44293;44254;43725;45482;45712;48599;46949
Nevada;4382;43649;42927;43075;43382;44555;44589;44774
Michigan;43372;42631;41514;40993;40463;39757;38763;36676
Missouri;43317;42943;42442;42487;41926;41598;42204;42012
Tennessee;43267;42797;41828;41487;41091;40193;3937;39096
New Mexico;41348;41577;40842;39659;40094;40167;40297;4067
Florida;39543;39093;38398;38023;37705;37876;38604;38695
Montana;39356;39686;39214;38476;38537;38542;37733;36667
Kentucky;38985;38603;38298;38247;38052;37926;37579;36209
Maine;38921;3845;38014;37477;37705;3778;38352;3791
Arizona;3859;38414;38427;38303;38559;38257;37935;38232
Alabama;37261;36856;36538;3666;36425;36201;35913;35376
South Carolina;37063;36796;36295;35701;35346;35609;35126;34955
Arkansas;36368;36196;36249;35865;34965;35146;34671;33837
West Virginia;36315;36453;36161;35755;35509;36084;35368;34564
Idaho;35466;35467;35099;34748;34094;3427;3462;34664
Mississippi;31881;31633;31522;31923;31786;31167;31688;31658